age;music;signal;mlg;price
5;нет;есть;60.000;1800.000
1;нет;есть;13.000;2600.000
4;нет;есть;52.000;1700.000
2;есть;нет;48.000;2000.000
4;нет;есть;40.000;1800.000
2;есть;нет;30.000;2100.000
2;нет;есть;27.000;1950.000
3;нет;нет;35.000;2300.000
5;есть;есть;130.000;1300.000
5;нет;есть;75.000;1700.000
3;нет;нет;38.000;1800.000
2;есть;есть;40.000;2200.000
5;есть;есть;85.000;1500.000
0;нет;есть;0.700;4300.000
6;нет;нет;38.000;2000.000
2;нет;нет;80.000;1800.000
6;есть;нет;103.000;1400.000
4;нет;нет;56.000;1650.000
6;есть;есть;78.000;1500.000
4;нет;нет;35.000;1950.000
1;нет;есть;17.000;2650.000
6;есть;есть;76.000;1350.000
3;есть;нет;33.000;1800.000
3;есть;есть;31.000;2200.000
3;есть;есть;75.000;2100.000
4;есть;есть;66.000;1800.000
3;нет;есть;33.000;1700.000
3;есть;есть;58.000;1900.000
4;есть;есть;50.000;2000.000
1;есть;нет;14.000;2600.000
5;есть;нет;3.000;1600.000
2;есть;есть;40.000;2200.000
7;есть;нет;50.000;900.000
5;есть;нет;51.000;1500.000
4;есть;есть;46.000;1600.000
4;есть;нет;80.000;1850.000
0;нет;нет;1.500;2600.000
9;есть;есть;65.000;1300.000
1;есть;есть;4.700;2800.000
2;есть;есть;40.000;2400.000
0;нет;нет;0.000;2750.000
8;нет;нет;87.000;1200.000
8;есть;есть;71.000;2100.000
6;нет;нет;84.000;1700.000
9;есть;есть;87.000;1500.000
7;нет;нет;71.000;1500.000
5;есть;есть;50.000;2400.000
6;есть;есть;77.000;2200.000
9;нет;нет;95.000;1600.000
7;есть;есть;70.000;1900.000
4;есть;есть;44.000;2300.000
3;нет;есть;16.000;3500.000
6;нет;есть;82.000;1900.000
5;нет;есть;110.000;1700.000
1;нет;нет;15.000;3500.000
2;нет;есть;20.000;2600.000
3;нет;есть;60.000;2800.000
1;нет;нет;0.000;3500.000
5;нет;есть;18.000;3000.000
2;нет;есть;16.000;4500.000
